"Corvus_corone","Pica_pica","Corvus_corax","Garrulus_glandarius","Temperature","Habitat","Site"
"1",1,0,0,2,1,2,25
"2",6,4,0,2,2,2,27
"3",12,7,0,0,2,4,29
"4",6,4,6,1,2,2,30
"5",4,8,0,0,2,4,44
"6",7,0,5,1,1,2,60
"7",5,3,0,0,2,4,69
"8",3,13,0,0,2,4,70
"9",1,3,0,1,2,2,86
"10",4,2,0,0,2,3,97
"11",2,0,0,1,2,2,101
"12",0,0,0,1,2,2,104
"13",5,2,0,0,2,2,105
"14",0,2,0,0,1,2,106
"15",5,0,0,1,2,2,112
"16",9,6,1,1,2,1,113
"17",4,0,0,0,1,1,115
"18",7,6,1,1,1,4,150
"19",1,1,0,0,1,1,154
"20",0,1,0,2,1,2,169
"21",2,0,0,0,1,2,186
"22",0,0,1,0,1,2,189
"23",0,2,0,0,1,4,203
"24",2,1,3,0,1,4,225
"25",2,2,1,3,1,2,226
"26",3,2,1,2,1,1,257
"27",5,0,0,0,1,1,259
"28",2,1,2,1,1,1,260
"29",4,0,0,0,1,1,283
"30",0,0,1,1,1,2,299
"31",3,0,2,0,1,2,322
"32",3,0,0,0,1,2,328
"33",1,0,0,0,1,2,329
"34",8,4,1,0,1,4,384
"35",0,0,0,0,1,2,396
"36",1,0,1,0,1,2,419
"37",0,0,0,0,1,2,420
"38",0,0,0,0,1,2,429
"39",2,0,2,0,1,2,430
"40",0,0,0,0,0,2,554
